timeStamp,ThrustV,CombustTempV,InletPressureV,ABPressureV,InletTempV,PressureRatioV,FuelPressureV,FuelPumpPowerV,ABPumpPowerV,CoolantTempV,CoolantPressureV,CoolantPumpPowerV,BatteryVoltage,SparkPlugStatus
2026-07-14T16:44:21.726,0.427877,20,2.00161,0.992921,20.2333,1.97543,0.308328,50.0623,40.355,35.3543,1.19281,60.3,12.0073,OFF
2026-07-14T16:44:21.822,0.0968235,20,1.99511,0.983999,20.0697,1.96902,0.318033,50.2986,39.9325,35.7286,1.19166,60.3546,11.9991,ON
2026-07-14T16:44:21.931,0,20.9394,2.00232,0.977728,19.8539,1.97613,0.314984,50.4064,39.694,36.0558,1.19961,60.8248,11.9947,OFF
2026-07-14T16:44:22.039,0.358815,21.6031,1.99499,0.987164,20.0347,1.9689,0.324077,50.8473,40.1853,36.1079,1.20629,61.3091,12.0024,OFF
2026-07-14T16:44:22.154,0.746018,21.5187,1.98922,0.982641,19.8585,1.96321,0.315796,50.7493,39.8749,36.466,1.21019,61.7498,11.9988,OFF
2026-07-14T16:44:22.264,1.22646,21.5747,1.99409,0.973265,19.6635,1.96802,0.309266,50.6637,39.9315,36.4529,1.20035,61.5628,11.9933,OFF
2026-07-14T16:44:22.373,0.881441,20.9669,1.99367,0.982957,19.4605,1.9676,0.316269,51.0591,39.4827,36.8483,1.20447,61.7442,11.9901,OFF
2026-07-14T16:44:22.479,0.481505,21.1185,1.99156,0.976686,19.5075,1.96552,0.313869,50.8157,39.8389,37.0806,1.19971,61.5809,11.9815,OFF
2026-07-14T16:44:22.588,0.570132,20.7502,1.98231,0.983566,19.5181,1.95639,0.314293,50.7585,40.3098,37.2467,1.20017,61.7595,11.9767,OFF
2026-07-14T16:44:22.696,0.529266,20.43,1.97694,0.989579,19.55,1.95109,0.306855,51.0698,40.0441,37.6398,1.19038,61.7485,11.9843,OFF
2026-07-14T16:44:22.810,0.688495,21.3612,1.98261,0.9825,19.5513,1.95669,0.302282,50.8624,39.7425,37.4141,1.19766,61.5671,11.9913,OFF
2026-07-14T16:44:22.916,0.990569,22.1772,1.98779,0.976698,19.5892,1.9618,0.301978,51.1232,40.1137,37.6842,1.19286,61.3909,11.9984,OFF
2026-07-14T16:44:23.036,0.569049,21.8889,1.98595,0.96918,19.5345,1.95998,0.299763,50.6237,40.2454,37.9691,1.18321,61.2894,11.9999,OFF
2026-07-14T16:44:23.134,0.613725,22.2595,1.98622,0.969745,19.4797,1.96024,0.295499,50.1545,40.0157,38.1604,1.18551,61.4618,11.9944,OFF
2026-07-14T16:44:23.249,0.281464,21.7857,1.98448,0.972984,19.6005,1.95853,0.293919,49.6662,40.4267,37.7922,1.18795,61.7445,11.9882,OFF
2026-07-14T16:44:23.353,0,22.5639,1.97963,0.982232,19.7169,1.95375,0.287463,50.1114,40.1717,37.9811,1.19485,61.5747,11.9899,OFF
2026-07-14T16:44:23.468,0.0788362,22.8913,1.97939,0.984821,19.5715,1.9535,0.279553,50.3213,40.1145,37.7129,1.19052,61.8011,11.9988,OFF
2026-07-14T16:44:23.575,0,22.8528,1.98307,0.977378,19.7654,1.95713,0.277742,49.8953,39.9558,37.9565,1.18969,61.9567,11.9891,OFF
2026-07-14T16:44:23.685,0.276367,22.833,1.98832,0.98335,19.5803,1.96232,0.278455,49.4157,39.9069,38.2516,1.18458,61.5848,11.9919,OFF
2026-07-14T16:44:23.792,0,22.9681,1.98387,0.981767,19.7189,1.95793,0.269445,49.6356,39.437,38.0848,1.18152,61.8656,11.9878,ON
2026-07-14T16:44:23.900,0,21.972,1.98603,0.983904,19.8279,1.96005,0.276639,49.6075,39.4639,38.2994,1.17218,62.2685,11.9824,OFF
2026-07-14T16:44:24.008,0.0871546,21.6135,1.98039,0.985605,19.732,1.9545,0.276541,49.7603,39.1804,38.5571,1.17463,62.4206,11.9794,OFF
2026-07-14T16:44:24.124,0.569718,21.2955,1.98428,0.979463,19.8722,1.95833,0.272515,50.2032,39.5832,38.8699,1.16729,62.1908,11.9757,OFF
2026-07-14T16:44:24.228,0.416607,20.7813,1.98259,0.988089,19.6962,1.95667,0.271293,50.6507,39.1067,38.5632,1.17393,61.7808,11.9786,OFF
2026-07-14T16:44:24.342,0,20,1.98128,0.990982,19.8304,1.95537,0.274923,51.0996,38.7408,38.8452,1.17748,61.6569,11.9885,OFF
2026-07-14T16:44:24.452,0.493704,20.5559,1.97545,0.995246,19.7169,1.94962,0.265612,51.1469,38.3822,38.4924,1.16862,61.8108,11.9854,OFF
2026-07-14T16:44:24.560,0.890114,20.3204,1.9798,0.998088,19.6095,1.95391,0.266916,50.9746,38.2551,38.7788,1.16913,61.4902,11.9803,OFF
2026-07-14T16:44:24.665,1.07317,20.6337,1.9849,0.999905,19.5987,1.95894,0.26535,50.5252,37.8551,38.9616,1.16904,61.1434,11.9834,OFF
2026-07-14T16:44:24.773,0.636569,21.1011,1.99422,0.99694,19.3748,1.96814,0.256517,50.3453,38.3321,38.5918,1.17508,61.3225,11.9833,OFF
2026-07-14T16:44:24.896,0.971318,21.3852,2.00141,1.00158,19.5801,1.97523,0.250544,49.9324,38.5029,38.4698,1.17336,61.5318,11.9789,OFF
2026-07-14T16:44:25.004,1.26333,21.2248,2.00917,1.01147,19.5636,1.9829,0.253585,49.9427,38.22,38.1425,1.16462,61.1879,11.9787,OFF
2026-07-14T16:44:25.113,1.50131,20.5589,2.00679,1.01844,19.6245,1.98055,0.2542,49.6505,38.5023,38.2022,1.15932,60.9355,11.981,OFF
2026-07-14T16:44:25.223,1.72838,20,2.0139,1.01651,19.6872,1.98757,0.253078,49.9087,38.2338,37.8349,1.15955,60.4667,11.9744,OFF
2026-07-14T16:44:25.331,2.013,20,2.00591,1.01532,19.6296,1.97968,0.244012,49.8881,38.627,37.4441,1.16554,60.7901,11.9812,OFF
2026-07-14T16:44:25.438,1.78828,20,2.01198,1.02115,19.6088,1.98567,0.249056,50.0946,38.4805,37.3863,1.17003,60.6474,11.9841,OFF
2026-07-14T16:44:25.548,1.47023,20.8914,2.00434,1.01602,19.3992,1.97813,0.256904,50.528,38.005,37.7643,1.17583,60.4599,11.9743,OFF
2026-07-14T16:44:25.656,1.89181,20.4782,2.0079,1.02317,19.43,1.98164,0.262903,50.9821,38.2444,37.4274,1.18271,60.8431,11.9712,OFF
2026-07-14T16:44:25.764,1.62833,20.1041,1.99891,1.03264,19.2522,1.97277,0.269974,51.1995,38.0274,37.5742,1.17766,60.9559,11.969,OFF
2026-07-14T16:44:25.871,1.76738,20,1.99663,1.02844,19.499,1.97052,0.264024,51.5586,38.2502,37.407,1.18498,61.2402,11.9644,OFF
2026-07-14T16:44:25.978,1.54007,20,2.00591,1.02407,19.705,1.97968,0.271026,51.9383,38.311,37.7572,1.17958,60.9462,11.964,OFF
