timeStamp,ThrustV,CombustTempV,InletPressureV,InletTempV,PressureRatioV,FuelPressureV,FuelPumpPowerV,CoolantTempV,CoolantPressureV,CoolantPumpPowerV,SparkPlugStatus
2025-09-10T08:45:10.360,0,20,1.9902,19.8417,1.96418,0.291296,49.8048,35.056,1.19487,59.7509,OFF
2025-09-10T08:45:10.545,0.317962,20,1.98528,19.9008,1.95932,0.294826,49.9653,34.8999,1.18544,59.9689,OFF
2025-09-10T08:45:10.786,0.255453,20.1277,1.97973,20.1333,1.95384,0.287023,50.2011,34.5549,1.18824,60.1141,OFF
2025-09-10T08:45:11.037,0.312826,20.0786,1.98012,19.9373,1.95422,0.283873,50.1971,34.8125,1.18809,59.6755,OFF
2025-09-10T08:45:11.287,0.31329,20,1.97297,20.0393,1.94717,0.284593,49.9475,35.1836,1.18172,59.3389,OFF
2025-09-10T08:45:11.544,0.182372,20,1.97009,20.1784,1.94433,0.293043,49.9496,34.9439,1.17907,59.6996,OFF
2025-09-10T08:45:11.797,0.156743,20.7903,1.97917,20.3981,1.95329,0.298582,50.0253,35.2959,1.17943,60.1914,OFF
2025-09-10T08:45:12.035,0,21.5309,1.97166,20.3031,1.94587,0.292443,50.3059,34.9033,1.17679,60.6264,OFF
2025-09-10T08:45:12.289,0,21.8699,1.98081,20.3555,1.9549,0.285348,50.7647,34.8515,1.17688,61.0962,OFF
2025-09-10T08:45:12.543,0.138889,22.7723,1.98648,20.352,1.96051,0.281124,51.154,34.9892,1.17062,61.5527,OFF
2025-09-10T08:45:12.798,0.44681,22.696,1.98139,20.5619,1.95548,0.286673,51.4749,35.2893,1.17216,61.6683,OFF
2025-09-10T08:45:13.037,0.599712,22.4157,1.98087,20.7662,1.95497,0.288039,51.4395,35.0314,1.17599,61.5816,OFF
2025-09-10T08:45:13.290,0.463375,21.9756,1.98132,20.9641,1.95541,0.280513,51.8364,34.955,1.17079,61.5989,OFF
2025-09-10T08:45:13.546,0.00205046,21.899,1.9899,20.9475,1.96388,0.283669,51.5762,35.2469,1.17874,61.9367,OFF
2025-09-10T08:45:13.786,0.0323436,22.0338,1.98203,20.7071,1.95612,0.281914,51.3381,35.5883,1.17343,61.9274,OFF
2025-09-10T08:45:14.040,0,22.0975,1.97375,20.5648,1.94794,0.284028,51.3236,35.3796,1.16995,61.606,ON
2025-09-10T08:45:14.293,0.121792,21.7178,1.97157,20.644,1.94579,0.285478,50.9334,35.636,1.16856,61.1322,OFF
2025-09-10T08:45:14.547,0.0216526,22.0329,1.97878,20.6432,1.95291,0.279499,51.3,35.6538,1.1636,61.3384,OFF
2025-09-10T08:45:14.785,0,21.5647,1.97238,20.8371,1.94658,0.287251,51.5985,35.619,1.17114,61.1198,OFF
2025-09-10T08:45:15.040,0,21.3871,1.97983,20.9915,1.95394,0.290761,51.3016,35.3827,1.1626,61.4678,OFF
2025-09-10T08:45:15.294,0,20.5564,1.98387,21.2299,1.95793,0.296178,51.1151,35.7329,1.15558,61.6649,OFF
2025-09-10T08:45:15.546,0,20.5177,1.98484,21.2872,1.95888,0.302172,50.6652,36.092,1.15485,61.76,OFF
2025-09-10T08:45:15.784,0,20.3508,1.98467,21.1524,1.95872,0.302851,50.8794,36.2811,1.14956,61.6774,OFF
2025-09-10T08:45:16.039,0,20,1.98068,21.3793,1.95478,0.309064,50.6365,36.4126,1.14855,62.1365,OFF
2025-09-10T08:45:16.285,0,20.7801,1.98771,21.5331,1.96171,0.302194,50.8994,36.3433,1.14957,62.5858,OFF
2025-09-10T08:45:16.535,0.474655,21.578,1.98499,21.6369,1.95903,0.304187,50.9873,36.7317,1.15578,62.6391,OFF
2025-09-10T08:45:16.784,0.622715,21.2299,1.99377,21.7166,1.96769,0.308974,51.1676,36.6526,1.15263,63.0292,OFF
2025-09-10T08:45:17.038,0.57177,21.2851,1.99265,21.9171,1.96659,0.311372,51.3598,37.0524,1.16097,63.3238,OFF
2025-09-10T08:45:17.292,0.388544,21.6157,1.99531,21.912,1.96922,0.305935,51.7532,36.9335,1.15937,62.8361,OFF
2025-09-10T08:45:17.547,0.411006,20.8667,1.9923,22.0001,1.96624,0.303714,51.305,36.5766,1.16141,63.0486,OFF
2025-09-10T08:45:17.785,0.656807,20.6267,1.9894,21.8877,1.96339,0.297922,50.9328,36.7993,1.16548,63.0502,OFF
2025-09-10T08:45:18.035,0.628949,20,1.98434,21.6548,1.95839,0.298939,50.7412,37.083,1.1587,63.3394,OFF
2025-09-10T08:45:18.454,0.220455,20.8013,1.97779,21.6842,1.95193,0.296912,50.9546,36.8173,1.16334,63.4631,OFF
2025-09-10T08:45:18.546,0.613408,21.5687,1.97211,21.708,1.94632,0.29591,51.2693,37.1367,1.15792,63.5139,OFF
2025-09-10T08:45:18.796,0.690259,22.2907,1.97088,21.4971,1.94511,0.28833,50.8689,36.7524,1.16449,63.9882,OFF
2025-09-10T08:45:19.033,1.08164,21.7789,1.96161,21.6986,1.93596,0.283415,51.0524,36.6176,1.16034,63.6865,OFF
2025-09-10T08:45:19.291,1.25686,21.8934,1.97146,21.5109,1.94568,0.291374,51.5281,36.8075,1.16121,63.2925,OFF
2025-09-10T08:45:19.546,0.879298,22.4704,1.97714,21.6416,1.95129,0.291226,51.8344,36.8086,1.16786,62.949,OFF
2025-09-10T08:45:19.783,1.10805,22.9507,1.98115,21.7101,1.95525,0.287748,51.4008,37.1766,1.16878,63.2073,OFF
2025-09-10T08:45:20.038,1.38809,23.6754,1.97822,21.8037,1.95235,0.293045,50.9888,36.8583,1.16577,63.4634,OFF
2025-09-10T08:45:20.292,1.49275,23.0394,1.9851,22.0356,1.95914,0.296122,51.2586,36.9943,1.15841,63.9381,OFF
2025-09-10T08:45:20.536,1.10378,22.3456,1.98664,21.831,1.96066,0.29246,51.1839,37.373,1.15984,63.7952,OFF
2025-09-10T08:45:20.783,0.968177,21.6071,1.99484,21.9157,1.96876,0.298506,50.7332,37.0293,1.15726,63.8879,OFF
2025-09-10T08:45:21.039,0.545941,22.4373,1.99453,21.7387,1.96845,0.30679,51.1442,36.9167,1.15653,63.702,OFF
2025-09-10T08:45:21.295,0.336527,22.1055,1.98567,21.8226,1.95971,0.309972,50.6637,37.0162,1.15846,64.0956,OFF
